"T_NOMBRE";"V_ESTATUS";"N_CODIGO_PROV";"T_PROVINCIA";"N_CODIGO_MUN";"T_MUNICIPIO"
"Viator";"Normalizado";"4";"Almería";"04101";"Viator"
"Algodonales";"Normalizado";"11";"Cádiz";"11005";"Algodonales"
"Bornos";"Normalizado";"11";"Cádiz";"11010";"Bornos"
"Cádiz";"Normalizado";"11";"Cádiz";"11012";"Cádiz"
"Espera";"Normalizado";"11";"Cádiz";"11017";"Espera"
"Jerez de la Frontera";"Normalizado";"11";"Cádiz";"11020";"Jerez de la Frontera"
"Olvera";"Normalizado";"11";"Cádiz";"11024";"Olvera"
"El Puerto de Santa María";"Normalizado";"11";"Cádiz";"11027";"El Puerto de Santa María"
"Puerto Real";"Normalizado";"11";"Cádiz";"11028";"Puerto Real"
"Puerto Serrano";"Normalizado";"11";"Cádiz";"11029";"Puerto Serrano"
"San Fernando";"Normalizado";"11";"Cádiz";"11031";"San Fernando"
"Sanlúcar de Barrameda";"Normalizado";"11";"Cádiz";"11032";"Sanlúcar de Barrameda"
"Trebujena";"Normalizado";"11";"Cádiz";"11037";"Trebujena"
"Villamartín";"Normalizado";"11";"Cádiz";"11041";"Villamartín"
"Aguilar de la Frontera";"Normalizado";"14";"Córdoba";"14002";"Aguilar de la Frontera"
"Alcaracejos";"Normalizado";"14";"Córdoba";"14003";"Alcaracejos"
"La Carlota";"Normalizado";"14";"Córdoba";"14017";"La Carlota"
"Fuente Palmera";"Normalizado";"14";"Córdoba";"14030";"Fuente Palmera"
"Guadalcázar";"Normalizado";"14";"Córdoba";"14033";"Guadalcázar"
"Hornachuelos";"Normalizado";"14";"Córdoba";"14036";"Hornachuelos"
"Lucena";"Normalizado";"14";"Córdoba";"14038";"Lucena"
"Luque";"Normalizado";"14";"Córdoba";"14039";"Luque"
"Montilla";"Normalizado";"14";"Córdoba";"14042";"Montilla"
"Palma del Río";"Normalizado";"14";"Córdoba";"14049";"Palma del Río"
"Posadas";"Normalizado";"14";"Córdoba";"14053";"Posadas"
"Puente Genil";"Normalizado";"14";"Córdoba";"14056";"Puente Genil"
"Santaella";"Normalizado";"14";"Córdoba";"14060";"Santaella"
"Fuente Carreteros";"Normalizado";"14";"Córdoba";"14901";"Fuente Carreteros"
"Almonte";"Normalizado";"21";"Huelva";"21005";"Almonte"
